"Country","Name","State","Name (Native Language)","Level"
"Cyprus","Nature and Wildlife Protection and Management Law (2003)","Published","ΝΟΜΟΣ ΠΟΥ ΠΡΟΝΟΕΙ ΓΙΑ ΠΡΟΣΤΑΣΙΑΣ ΚΑΙ ∆ΙΑΧΕΙΡΙΣΗ  ΤΗΣ ΦΥΣΗΣ ΚΑΙ ΤΗΣ ΑΓΡΙΑΣ ΖΩΗΣ (2003-2006)","National"
"Czech Republic","State Environmental Policy of the Czech Republic 2030 with outlook to 2050","Published","Státní politika životního prostředí České republiky 2030 s výhledem do 2050","National"
"","Law Amending the Nature and Wildlife Protection and Management Law (2006)","Cancelled","ΝΟΜΟΣ ΠΟΥ ΤΡΟΠΟΠΟΙΕΙ ΤΟΝ ΠΕΡΙ ΠΡΟΣΤΑΣΙΑΣ ΚΑΙ ΔΙΑΧΕΙΡΙΣΗΣ ΤΗΣ  ΦΥΣΗΣ ΚΑΙ ΤΗΣ ΑΓΡΙΑΣ ΖΩΗΣ ΝΟΜΟ (2006)","Global"
"Cyprus","The Protection and Management of Wild Birds and Game Law (2003)","Published","ΝΟΜΟΣ ΠΟΥ ΠΡΟΝΟΕΙ ΓΙΑ ΤΗΝ ΠΡΟΣΤΑΣΙΑ ΚΑΙ ∆ΙΑΧΕΙΡΙΣΗ ΑΓΡΙΩΝ ΠΤΗΝΩΝ ΚΑΙ ΘΗΡΑΜΑΤΩΝ","National"
"Cyprus","Cyprus's Priority Action Framework (PAF) for Natura 2000, 2021-2027","Published","ΠΛΑΙ΢ΙΟ ΔΡΑ΢Θ΢ ΠΡΟΣΕΡΑΙΟΣΘΣΑ΢ (PAF) ΓΙΑ ΣΟ ΔΙΚΣΤΟ NATURA 2000 ςτθν  ΚΤΠΡΙΑΚΘ ΔΘΜΟΚΡΑΣΙΑ (Σελικό)","National"
"Cyprus","[unsure of salience] Cyprus's Ratification Document of the Ramsar Convention (2001)","Cancelled","","National"
"Cyprus","Biodiversity Strategy and Action Plan of Cyprus (2020)","Published","Στρατηγική και Σχέδιο Δράσης για τη Βιοποικιλότητα στην Κύπρο (2020)","National"
"Cyprus","NATURA 2000 Area Management Plan CY5000004 ""Troodos National Forest Park"" (2019)","Published","Σχέδιο διαχείρισης περιοχής NATURA 2000 CY5000004 “Εθνικό Δασικό Πάρκο Τροόδους» (2019)","National"
"Cyprus","Industrial Emissions Law of Cyprus (2013)","Published","Ο ΠΕΡΙ ΒΙΟΜΗΧΑΝΙΚΩΝ ΕΚΠΟΜΠΩΝ ΝΟΜΟΣ (2013)","National"
"Cyprus","National Strategy on Adaptation (NAS) to Climate Change 2025-2050","Published","","National"
"Cyprus","National Climate Change Adaptation Action Plan 2025-2050","Published","","National"
"Cyprus","Cyprus CAP Strategic Plan (CSP) 2023-2027","Published","Στρατηγικό Σχέδιο ΚΑΠ (Κύπρος) 2023-2027","National"
"Cyprus","[technical issue] The Environmental Impact Assessment of Certain Projects Law of 2018 (Cyprus)","Cancelled","[technical issue] Ο περί της Εκτίμησης των Επιπτώσεων στο Περιβάλλον από Ορισμένα Έργα Νόμος του 2018","National"
"Cyprus","National Energy and Climate Plan (NECP) of Cyprus 2021-2030","Published","ΕΝΟΠΟΙΗΜΕΝΟΥ ΕΘΝΙΚΟΥ ΣΧΕΔΙΟY ΤΗΣ ΚΥΠΡΟΥ ΓΙΑ ΤΗΝ ΕΝΕΡΓΕΙΑ ΚΑΙ ΤΟ ΚΛΙΜΑ 2021-2030 (2024)","National"
"Cyprus","National Inventory Report (NIR) of Cyprus for the UNFCCC (2024)","Published","","National"
"Cyprus","[technical issue] The Greenhouse Gas Emissions Trading System Law of 2011 (Cyprus)","Cancelled","[technical issue] Ο περί της Θέσπισης Συστήματος Εμπορίας Δικαιωμάτων Εκπομπής Αερίων του Θερμοκηπίου Νόμος του 2011","National"
"Spain","Biodiversity and science strategy (2023-2027)","Published","Estrategia de biodiversidad y ciencia (2023-2027)","National"
"","Spanish Strategy for the Conservation and Sustainable Use of Biological Diversity","Cancelled","Estrategia española para la conservación y el uso sostenible de la Diversidad Biológica","Global"
"Cyprus","3rd River Basin Management Plan (RBMP) of Cyprus (2021-2027)","Published","3 ο Σχέδιο Διαχείρισης Λεκάνης Απορροής Ποταμού της Κύπρου  (2021-2027)","National"
"Spain","National Strategy for Green Infrastructure and Ecological Connectivity and Restoration","Published","Estrategia Nacional de Infraestructura Verde y de la Conectividad y Restauración Ecológicas","National"
"Cyprus","3rd River Basin Management Plan (RBMP) of Cyprus (2021-2027), Programme of Measures (PoM)","Published","3 ο Σχέδιο Διαχείρισης Λεκάνης Απορροής , Ποταμού της Κύπρου Πρόγραμμα Μέτρων (Περίοδος 2022-2027)","National"
"Cyprus","Sustainable Finance Framework of the Republic of Cyprus (2023)","Published","","National"
"Spain","National strategy to combat desertification","Published","Estrategia Nacional de Lucha contra la Desertificación (ENLD)","National"
"","EU Sustainable Carbon Cycles (COM/2021/800)","Published","EU Sustainable Carbon Cycles (COM/2021/800)","European"
"Czech Republic","CAP Strategic Plan for the period 2023-2027","Published","CS - Strategický plán SZP na období 2023-2027","National"
"Czech Republic","National Biodiversity Strategy of the Czech Republic 2016–2025","Published","Strategie ochrany biologické rozmanitosti České republiky 2016–2025","National"
"Czech Republic","Climate Change Adaptation Strategy in the Czech Republic 2021 – 2030","Published","Strategie přizpůsobení se změně klimatu v podmínkách ČR 2021 – 2030","National"
"Czech Republic","Priority Action Framework (PAF) for the NATURA 2000 network in the Czech Republic 2021 - 2027","Published","Prioritní akční rámec (PAF) pro soustavu NATURA 2000 v České republice 2021 - 2027","National"
"Czech Republic","Nature and landscape care standards: Restoration of the water regime of peatlands and springs 2022","Published","Standardy péče o přírodu a krajinu: Obnova vodního režimu rašelinišť a pramenišť 2022","National"
"Czech Republic","[draft mgmt plan] Care plan for the Skřítek Bog National Nature Reserve for the period 2025–2034","Cancelled","Plán péče o národní přírodní rezervaci Rašeliniště Skřítek na období 2025–2034","Local"
"Czech Republic","[update data link] Concept of active tools for species protection in the Czech Republic 2023–2032","Cancelled","Koncepce aktivních nástrojů druhové ochrany v České republice 2023–2032","National"
"Austria","CAP Strategic Plan Austria 2023-2027 (2nd amendment)","Published","GAP-Strategieplan Österreich 2023-2027 (2. Änderung)","National"
"Croatia","[Discuss with Partner] Law on Renewable Energy Sources and High-Efficiency Cogeneration","Cancelled","Zakona o obnovljivim izvorima energije i visokoučinkovitoj kogeneraciji","National"
"Latvia","Law on Specially Protected Nature Territories (1993)","Published","Par īpaši aizsargājamām dabas teritorijām (1993)","National"
"Croatia","Nature Protection Act","Published","Zakon o zaštiti prirode","National"
"Croatia","Decision on the adoption of the Natura 2000 Ecological Network Financing Program","Published","Odluka o donošenju Programa financiranja ekološke mreže Natura 2000","National"
"Croatia","Strategy and Action Plan for Nature Protection of the Republic of Croatia for the period 2017-2025","Published","Strategija i akcijski plan zaštite prirode Republike Hrvatske za razdoblje od 2017. do 2025. godine","National"
"Croatia","Plan for the production and use of biofuels in transport","Published","Plan proizvodnje i korištenja biogoriva u prometu","National"
"Croatia","Strategic plan of the Common Agricultural Policy of the Republic of Croatia 2023-2027","Cancelled","HR - Strateški plan Zajedničke poljoprivredne politike Republike Hrvatske 2023. – 2027.","National"
"Slovakia","Management models for the maintenance, protection and restoration of wetland habitats 2015","Cancelled","Manažmentové modely pre údržbu, ochranu a obnovu mokraďových biotopov 2015","National"
"Austria","[eu directive, not astrian] Environmental Impact Assessment Directive (EIA)","Cancelled","Umweltverträglichkeitsprüfung (UVP)","National"
"Austria","Austrian Strategy for Adaptation to Climate Change","Published","Die Österreichische Strategie zur Anpassung an den Klimawandel","National"
"Austria","Peat Strategy Austria 2030+","Published","Moorstrategie Österreich 2030+","National"
"Czech Republic","Catalogue of habitats of the Czech Republic 2001","Published","Katalog biotopů České republiky 2001","National"
"Latvia","Law on the Conservation of Species and Biotopes (2024)","Published","Sugu un biotopu aizsardzības likums (2024)","National"
"Latvia","Law on Specially Protected Natural Areas (2023)","Cancelled","Par īpaši aizsargājamām dabas teritorijām (2023)","National"
"Latvia","Land Management Law (2025)","Cancelled","Zemes pārvaldības likums (2025)","National"
"Latvia","Law on Forests (2023)","Published","Meža likums (2023)","National"
"Latvia","Water Management Law (2020)","Cancelled","Ūdens apsaimniekošanas likums (2020)","National"
"Latvia","Sustainable Finance Roadmap for Latvia (2023)","Cancelled","","National"
"Latvia","Energy Efficiency Law (2025)","Cancelled","Energoefektivitātes likums (2025)","National"
"Latvia","Law Environmental Impact Assessment (2024)","Cancelled","Par ietekmes uz vidi novērtējumu (2024)","National"
"Hungary","National Biodiversity Strategy 2030","Published","A biológiai sokféleség megőrzésének 2030-ig szóló nemzeti stratégiája","National"
"Poland","Polish Nature Conservation Act","Published","Ustawa o ochronie przyrody","National"
"Hungary","2nd National Climate Change Strategy covering the period 2018-2030, with an outlook to 2050","Published","A 2018-2030 közötti időszakra vonatkozó, 2050-ig tartó időszakra is kitekintést nyújtó második Nemzeti Éghajlatváltozási Stratégia","National"
"Poland","Polish Forest Act 1991","Published","Ustawa z dnia 28 września 1991 r. o lasach","National"
"Poland","[discuss w partner] Implementation of the ""Forest Carbon Farms"" Strategy","Cancelled","Realizacja projektu strategicznego „Leśne Gospodarstwa Węglowe”","National"
"Hungary","National Landscape Strategy (2017-2026)","Published","Nemzeti Tájstratégia (2017-2026)","National"
"Estonia","Nature Conservation Act (LKS)","Published","Looduskaitseseadus (LKS)","National"
"Estonia","Environmental Impact Assessment ad Environmental Management System Act (KeHJS)","Published","Keskkonnamõju hindamise ja keskkonnajuhtimissüsteemi seadus (KeHJS)","National"
"Estonia","Environmental Supervision Act (KeJS)","Cancelled","Keskkonnajärelevalve seadus (KeJS)","National"
"Hungary","CAP Strategic Plan Hungary, 2023-2027","Published","Magyarország KAP stratégiai terve, 2023- 2027","National"
"Estonia","National methodology for assessing the effectiveness of biodiversity conservation measures in Estonia (May 2024, final report)","Published","","National"
"United Kingdom","UK Government food strategy","Published","UK Government food strategy","National"
"Estonia","Environmental Development Plan (KEVAD) (draft 4)","Published","Keskkonnavaldkonna arengukava (KEVAD) (4. mustand)","National"
"","National Forestry Account Plan (NFAP) 2021-2025","Cancelled","","Global"
"Estonia","Agriculture and Fisheries Development Plan until 2030 (POKA)","Published","Põllumajanduse ja kalanduse valdkonna  arengukava aastani 2030 (POKA)","National"
"Estonia","Agriculture, Food, and Rural Life 2024-2027, programme and financing plan","Published","Pollumajandus, toit ja Maaelu programm 2024–2027","National"
"Hungary","National Environmental Protection Program Policy Strategy 2026","Published","Nemzeti Környezetvédelmi Program 2026-ig szóló szakpolitikai stratégia","National"
"Estonia","[FO: This is from a Private Entity!] Development plan ""Estonian Agriculture and Food 2030""","Cancelled","Arengukava „Eesti põllumajandus ja toit 2030“","National"
"Hungary","National Water Strategy (Jenő Kvassay Plan, KJT) 2030","Published","Nemzeti vízstratégia (Kvassay Jenő Terv, KJT) 2030","National"
"Estonia","Estonia's 2024 National Inventory Document (NID) for the UNFCCC","Published","","National"
"Hungary","National Clean Development Strategy 2020-2050","Published","Nemzeti Tiszta Fejlődési Stratégia 2020-2050","National"
"Estonia","EE - CAP Strategic Plan 2023-2027","Cancelled","Ühise põllumajanduspoliitika strateegiakava 2023–2027","National"
"France","National Biodiversity Strategy 2030 - Living in harmony with nature","Published","Stratégie Nationale Biodiversité 2030 - Vivre en harmonie avec la nature","National"
"Estonia","National Energy and Climate Plan (NECP) 2030","Published","","National"
"Estonia","Atmospheric Air Protection Act (AOKS)","Published","Atmosfääriõhu kaitse seadus","National"
"Hungary","Natura 2000 Prioritised Action Framework (PAF) for Hungary 2021-2027","Published","Natura 2000 Priorizált Intézkedési Terv Magyarország 2021-2027","National"
"Estonia","Earth's Crust Act (MaaPS)","Published","Maapõueseadus (MaaPS)","National"
"Estonia","Water Act","Published","Veeseadus","National"
"Poland","[discuss with partner] Environmental Protection Law & public access information law","Cancelled","Ustawa z dnia 27 kwietnia 2001 r. Prawo ochrony środowiska.","National"
"Poland","Geological and Mining Law (Journal of Laws 2011 No. 163 item 981)","Published","Ustawa z dnia 9 czerwca 2011 r. - Prawo geologiczne i górnicze (Dz.U. 2011 nr 163 poz. 981)","National"
"Germany","Federal Regulation for the Protection of Species (BArtSchV)","Published","Verordnung zum Schutz wild lebender Tier- und Pflanzenarten (Bundesartenschutzverordnung - BArtSchV)","National"
"Slovenia","Common Agricultural Policy (CAP) Strategic Plan 2023– 2027 for Slovenia","Published","Strateški načrt skupne kmetijske politike 2023–2027 za Slovenijo","National"
"Belgium","Decree on Nature Conservation and the Natural Environment ('Nature Act') (Flanders)","Published","Decreet betreffende het natuurbehoud en het natuurlijk milieu ('Natuurdecreet') (Vlaanderen)","Regional"
"Belgium","Decree on the conservation of Nature 2000 sites and wild fauna and flora (Wallonia)","Published","Décret relatif à la conservation des sites Nature 2000 ainsi que de la faune et de la flore sauvages (Wallonia)","Regional"
"Belgium","Ordinance on nature conservation (Brussels-Capital Region)","Published","Ordonnantie betreffende het natuurbehoud (Brussel Region)","Regional"
"Belgium","Updated Belgian National Biodiversity Strategy for 2030","Published","","National"
"Belgium","Forestry Act (Flanders)","Published","Decreet Bosdecreet","Regional"
"Belgium","Forestry Code (Wallonia)","Published","Code Forestier","Regional"
"Belgium","2025 National Inventory Document (NID)","Published","","National"
"Belgium","Information on LULUCF Actions in Belgium","Published","","National"
"Belgium","Blue Deal 2025-2029: Compass for a Water-Wise Flanders","Published","Blue Deal 2025-2029: Kompas voor een waterwijs Vlaanderen","Regional"
"Belgium","Water management plan for the Brussels-Capital Region","Published","Plan de gestion de l'eau de la région de Bruxelles-Capitale","Regional"
"Belgium","Draft update of the Belgian National Energy and Climate Plan (NECP 2023)","Published","","National"
"Latvia","Protected Habitat Management Guidelines for Latvia (Mires and Springs)","Published","","National"
"Latvia","Protected Habitat Management Guidelines for Latvia (Forests)","Published","","National"
"Slovenia","Updated Comprehensive National Energy and Climate Plan (NECP) of the Republic of Slovenia (2021-2030)","Published","Posodobljeni Celoviti Nacionalni Energetski In Podnebni Načrt Republike Slovenije (2021-2030)","National"
"Slovenia","Natura 2000 Management Programme for the period 2023–2028","Published","Program upravljanja območij Natura 2000 za obdobje 2023–2028","National"
"Slovenia","Biodiversity Conservation Strategy of Slovenia","Cancelled","Strategija ohranjanja biotske raznovrstnosti v Sloveniji","National"
"","[duplicate]Resolution on Slovenia's Long-term Climate Strategy 2050 (REDPS50)","Cancelled","Resolucijo O Dolgoročni Podnebni Strategiji Slovenije Do Leta 2050 (REDPS50)","Global"
"Slovenia","[is this the official doc? https://pisrs.si/pregledPredpisa?id=RESO131] Slovenia's long-term climate strategy 2050","Cancelled","Dolgoročna podnebna strategija Slovenije 2050","National"
"Sweden","[report] Sweden’s Seventh National Communication on Climate Change","Cancelled","","National"
"Slovenia","Operational Programme for the Implementation of the National Forest Programme in the 2022–2026 Period","Published","Operativni program za izvajanje nacionalnega gozdnega programa za obdobje 2022–2026","National"
"Slovenia","Manual for the implementation of the conditionality requirements for agricultural holdings 2024","Published","Priročnik za izvajanje zahtev pogojenosti za kmetijska gospodarstva 2024","National"
"Sweden","Sweden’s Methane Action Plan","Published","","National"
"Sweden","Revised National Forestry Accounting Plan for Sweden (2012-2025)","Published","","National"
"Sweden","Swedish Strategy for Biodiversity and Ecosystem Services Bill","Cancelled","En svensk strategi för biologisk mångfald och ekosystemtjänster","National"
"Sweden","Law Species Protection Ordinance","Cancelled","Artskyddsförordning","National"
"Sweden","Common Guidelines for Handling Species Protection Matters in Forestry","Cancelled","Gemensamma riktlinjer för handläggning av artskyddsärenden i skogsbruket","National"
"Sweden","A Strategy for Biodiversity and Ecosystem Services","Published","","National"
"Sweden","Towards Achieving the 2030 Agenda and the Sustainable Development Goals (SDGs)","Cancelled","","National"
"Sweden","[report] Nature Restoration Ordinance","Cancelled","Förordning om restaurering av natur","National"
"Sweden","Proposal for a Directive on Monitoring Soil Health and Resilience","Cancelled","Förslag till direktiv om övervakning av markhälsa och resiliens","National"
"Sweden","Forestry Accounting Plan for Sweden","Published","","National"
"Sweden","National Strategy for Climate Adaptation","Cancelled","Nationell strategi för klimatanpassning","National"
"Sweden","The Framework of the Food Strategy 2020–2025","Cancelled","Uppdrag att genomföra åtgärder under 2020–2025 inom ramen för livsmedelsstrategin","National"
"Sweden","Food Strategy 2.0","Published","Livsmedelsstrategin 2.0","National"
"Sweden","Sweden – Common Agricultural Policy (CAP)  Strategic Plan","Cancelled","","National"
"Sweden","Strategic Plan For the Implementation of the Common Agricultural Policy in Sweden 2023-2027","Published","Strategisk plan för genomförande av den gemensamma jordbrukspolitiken i Sverige 2023- 2027","National"
"Sweden","Environmental Impact Assessment Bill","Cancelled","Ett förbättrat genomförande av MKB-direktivet Prop.","National"
"Sweden","Swedish Environmental Law","Cancelled","","National"
"Sweden","Sweden’s updated National Energy and Climate Plan 2021-2030","Published","Sveriges uppdaterade nationella energi- och klimatplan för 2021–2030","National"
"Sweden","Sweden’s Long-Term Strategy for Reducing Greenhouse Gas Emissions","Published","","National"
"Portugal","Action Plan for the Sustainability of the Azores Tourist Destination 2019-2030 (Updated 2021)","Published","Plano de Ação 2019-2030 da Sustentabilidade do Destino Turístico Açores (Atualização 2021)","Regional"
"Portugal","Flores Island Biosphere Reserve Action Plan","Published","Plano de Ação de Reserva da Biosfera da Ilha das Flores","Regional"
"Portugal","Portugal National Strategy for Nature Conservation and Biodiversity 2030 (ENCNB 2030)","Published","Estratégia Nacional de Conservação da Natureza e Biodiversidade 2030 (ENCNB 2030)","National"
"Sweden","[report] The Path to a Climate-Positive Future","Cancelled","Vägen Till en Klimatpositiv Framtid","National"
"Latvia","Priority Action Framework for the Natura 2000 network in Latvia (2021-2027)","Published","Prioritāro rīcību programma Natura 2000 tīklam Latvijā (2021–2027)","National"
"Lithuania","""Natura 2000"" Priority Action Programme (PAP) for implementation in Lithuania","Published","„Natura 2000“ Prioritetinių veiksmų programa (PVP), skirta įgyvendinti Lietuvoje","National"
"Portugal","Portugese Climate Framework Law (Law No. 98/2021 of 31 December)","Published","Lei de Bases do Clima (Lei n.º 98/2021 de 31 de dezembro)","National"
"Portugal","National Forest Strategy, Portugal (2015 update)","Published","Estratégia Nacional para as Florestas (ENF, Resolução do Conselho de Ministros n.º 6-B/2015)","National"
"Portugal","Priority action framework (PAF) for the Natura 2000 network in mainland Portugal and adjacent maritime space","Published","Quadro de ação prioritária (QAP) para a rede Natura 2000 em Portugal continental e espaço marítimo adjacente","National"
"Portugal","Portugal CAP Strategic Plan  2023-2027","Published","Portugal Plano Estratégico da PAC 2023-2027","National"
"France","National Strategic Plan for the CAP 2023-2027","Published","Plan Stratégique National de la PAC 2023-2027","National"
"France","[duplicate] National Low Carbon Strategy (SNBC), France","Cancelled","Stratégie Nationale Bas-Carbone (SNBC)","National"
"Luxembourg","National Nature Conservation Plan - 3rd Plan to 2030","Published","Plan National concernant la Protection de la Nature – 3e Plan à l’horizon 2030","National"
"Sweden","Water Management Ordinance","Cancelled","Vattenförvaltningsförordning","National"
"Luxembourg","CAP - National Strategic Plan of the Grand-Duchy of Luxembourg","Published","Plan Stratégique National du Grand-Duché de Luxembourg Assurer un développement durable du secteur agricole","National"
"Luxembourg","Integrated National Plan on energy and climate change in Luxembourg for the period 2021-2030","Published","Plan national intégré en matière d’énergie et de climat du Luxembourg pour la période 2021-2030","National"
"Luxembourg","Draft strategy and action plan for adaptation to the effects of in Luxembourg (2025 - 2035)","Published","Projet de Stratégie et plan d’action pour l’adaptation aux effets du changement climatique au Luxembourg (2025 – 2035)","National"
"France","3rd National Climate Change Adaptation Plan","Cancelled","3e Plan national d'adaptation au changement climatique","National"
"Portugal","National Forestry Accounting Plan Portugal 2021-2025","Published","","National"
"Sweden","Prioritised Action Framework (PAF) for Natura 2000 in Sweden","Published","","National"
"Slovenia","Resolution on Slovenia's long-term climate strategy 2050","Published","Resolucijo o Dolgoročni podnebni strategije Slovenije do leta 2050","National"
"Portugal","Decree-Law no. 11/2023 (the ""Environmental Simplex"")","Published","Decreto-Lei n.º 11/2023   de 10 de fevereiro","National"
"Portugal","Decree Law No. 73/2010 of 21 June, Portugal (the Excise Duty Code, CIEC)","Published","Decreto-Lei n.º 73/2010 de 21 de Junho (Código dos Impostos Especiais de Consumo, CIEC)","National"
"Czech Republic","State Nature and Landscape Protection Program for the period 2020-2025","Published","Státní program ochrany přírody a krajiny České republiky pro období 2020–2025","National"
"Sweden","The Path to a Climate-Positive Future","Cancelled","Vägen Till en Klimatpositiv Framtid","National"
"Czech Republic","Framework of active tools for species conservation in the Czech Republic 2023-2032","Published","Koncepce aktivních nástrojů druhové ochrany v České republice 2023–2032","National"
"Denmark","Promulgation of the Nature Conservation Act","Published","Bekendtgørelse af lov om naturbeskyttelse","National"
"Denmark","Denmark's Recovery and Resilience Plan","Published","","National"
"Denmark","Denmark - Final updated NECP 2021-2030","Published","Endelig Ajourføring af Danmarks Nationale Energi- og Klimaplan for Perioden 2021- 2030","National"
"Austria","The Alpine Convention Climate Action Plan 2.0","Published","Alpenkonvention Klimaaktions Plan 2.0","European"
"Sweden","The Swedish Environmental Code","Published","","National"
"Sweden","National Strategy and Government Action Plan for Climate Adaptation","Published","Nationell Strategi och Regeringens Handlingsplan för Klimatanpassning","National"
"Germany","Lower Saxony Habitats Directive","Cancelled","Die Fauna-Flora-Habitat-Richtlinie (Niedersächsische FFH-Richtlinie)","Regional"
"Germany","(public company??) Lower Saxony Long-Term Ecological Forest Development (LOWE)","Cancelled","Langfristige ökologische Waldentwicklung","Regional"
"","Alpine Climate Target System 2050","Published","Alpines Klimazielsystem 2050","European"
"","Strategy for the conservation and restoration of species-rich grassland in Luxembourg 2020-2030","Cancelled","Strategie zum Erhalt und Wiederherstellung des artenreichen Grünlandes in Luxemburg","Global"
"Luxembourg","National Forestry Accounting Plan Luxembourg","Published","Plan comptable forestier national","National"
"Austria","Floodplain Strategy Austria 2030+","Published","Auenstrategie Österreich 2030+","National"
"","Nature Restoration Regulation (EU) 2024/1991","Published","Nature Restoration Regulation (EU) 2024/1991","European"
"","EU Soil Strategy for 2030 (COM(2021) 699)","Published","EU Soil Strategy for 2030 (COM(2021) 699)","European"
"Ireland","Agriculture, Forest and Seafood Climate Change Sectoral Adaptation Plan","Published","","National"
"","New EU Forest Strategy for 2030 (COM(2021) 572)","Published","New EU Forest Strategy for 2030 (COM(2021) 572)","European"
"Ireland","National Adaptation Framework 2024: Planning for a Climate Resilient Ireland","Published","","National"
"","EU Adaptation Strategy","Published","EU Adaptation Strategy","European"
"","EU Environmental Impact Assessment (EIA) Directive (2011/92/EU, amended by 2014/52/EU)","Published","","European"
"Ireland","Water Action Plan 2024: A River Basin Management Plan for Ireland","Published","","National"
"","EU Emissions Trading System (EU ETS)","Published","EU Emissions Trading System (EU ETS)","European"
"","EU Carbon Removals and Carbon Farming (CRCF) Regulation (EU/2024/3012)","Published","EU Carbon Removals and Carbon Farming (CRCF) Regulation (EU/2024/3012)","European"
"","EU Methane Strategy (COM2020/663)","Published","EU Methane Strategy (COM2020/663)","European"
"Belgium","Prioritised Action Framework (PAF) for Natura 2000 in Flanders","Published","Prioritair Actikader (PAF) voor Natura 2000 in Vlaanderen","Regional"
"Belgium","Regional Resource Plan in Water* (SRRE)","Cancelled","Schéma Régional des Ressources en Eau (SRRE)","Regional"
"Belgium","Territorial Development Plan (SDT)","Cancelled","Schéma de Développement du Territoire (SDT)","Regional"
"Belgium","[placeholder] *Wallonia's Prioritised Action Framework (PAF) 2021-2027*","Cancelled","","Regional"
"","EU Revised Renewable Energy Directive (2023/2413) (repealing Directive 2009/28/EC)","Published","EU Revised Renewable Energy Directive (2023/2413) (repealing Directive 2009/28/EC)","European"
"","EU Taxonomy Regulation (2020/852), technical screening supplement (Commission Delegated Regulation (EU) 2021/2139)","Published","","European"
"Finland","Finnish Action plan to improve the status of endangered habitats","Published","Toimintasuunnitelma uhanalaisten luontotyyppien tilan parantamiseksi","National"
"Finland","Helmi Habitats Programme 2021–2030: Government Resolution","Published","Helmi-elinympäristöohjelma 2021–2030: Valtioneuvoston periaatepäätös","National"
"Italy","[ ! IMPORTANT PLACEHOLDER: Italian PAFs]","Cancelled","","Regional"
"Bulgaria","Priority Action Framework (PAF) for Natura 2000 in Bulgaria","Published","Рамка За Приоритетни Действия (РПД) За Натура 2000 В България","National"
"Ireland","Prioritised Action Framework (PAF) for Natura 2000 in Ireland","Published","","National"
"Netherlands","Prioritised Action Framework (PAF) for Natura 2000 in the Netherlands","Published","","National"
"Romania","Government Emergency Ordinance No. 57/2007","Published","Ordonanță de urgență nr. 57 din 20 iunie 2007","National"
"Romania","Prioritised Action Framework (PAF) for Natura 2000 in Romania","Published","","National"
"Finland","Water Management Plan for 2022–2027 Part 2: Methods and principles used in planning","Published","Vesienhoitosuunnitelma vuosille 2022–2027 Osa 2: Suunnittelussa käytetyt menetelmät ja periaatteet","National"
"Finland","Finnish Nature Conservation Act (9/2023)","Published","Luonnonsuojelulaki (9/2023)","National"
"Finland","Finnish Nature Conservation Decree (1066/2023)","Published","Luonnonsuojeluasetus","National"
"Finland","Finnish Ministry of the Environment Decree on Voluntary Ecological Compensation (933/2023)","Published","Ympäristöministeriön asetus vapaaehtoisesta ekologisesta kompensaatiosta (933/2023)","National"
"Germany","Lower Saxony Nature Conservation Act (NNatSchG)","Published","Niedersächsisches Naturschutzgesetz (NNatSchG)","Regional"
"Germany","Lower Saxony Act to Promote Climate Protection and Mitigate the Consequences of Climate Change (Lower Saxony Climate Act - NKlimaG)","Cancelled","Niedersächsisches Gesetz zur Förderung des Klimaschutzes und zur Minderung der Folgen des Klimawandels (Niedersächsisches Klimagesetz - NKlimaG)","Regional"
"Romania","National Strategy and Action Plan for Biodiversity Conservation","Published","Strategia Naţională şi Planul de Acţiune pentru Conservarea Biodiversităţii","National"
"Denmark","The Habitat Guide","Published","Habitatvejledningen","National"
"Germany","Natura 2000 in Lower Saxony Forests: Guide for Practice","Published","NATURA 2000 in niedersächsischen Wäldern Leitfaden für die Praxis","Regional"
"Luxembourg","Luxembourg Climate Bonus Forest Moor and Meadow subsidy","Published","Luxembourg Klimabonus Bësch Mouer a Wiss Subventioun","National"
"Denmark","Promulgation of the Forest Act","Published","Bekendtgørelse af lov om skove","National"
"Romania","Romania's Sustainable Development Strategy 2030","Published","Strategia Națională pentru Dezvoltare Durabilă a României 2030","National"
"Romania","Study for the Development of the National Strategy for Preventing and Combating Desertification and Land Degradation 2019–2030","Published","Studiu pentru Elaborarea Strategiei Naționale privind Prevenirea și Combaterea Deșertificării și Degradării Terenurilor 2019–2030","National"
"Denmark","Denmark – Common Agricultural Policy (CAP) Strategic Plan","Published","Danmarks – Strategiske Plan Under den Fælles Landbrugspolitik","National"
"Romania","LAW no. 246 of 10 November 2020 on the use, conservation and protection of soil","Cancelled","LEGE nr. 246 din 10 noiembrie 2020 privind utilizarea, conservarea și protecția solului","National"
"Denmark","Environmental Assessment Act","Published","Miljøvurderingsloven","National"
"Germany","Law on the Protection of Nature, the Care of the Landscape and Recreation in the Great Outdoors (Bavarian Nature Conservation Act – BayNatSchG)","Cancelled","Gesetz zum Schutz der Natur, zur Pflege der Landschaft und zur Erholung in der freien Natur (Bayerisches Naturschutzgesetz – BayNatSchG)","Regional"
"Germany","Bavarian Climate Protection Act (BayKlimaG)","Published","Bayerisches Klimaschutzgesetz (BayKlimaG)","Regional"
"Germany","Bavarian Ordinance on the classification of agricultural land according to the degree of erosion risk (Erosion Protection Ordinance – ESchV)","Cancelled","Bayerische Verordnung über die Einstufung landwirtschaftlicher Flächen nach dem Grad der Erosionsgefährdung (Erosionsschutzverordnung – ESchV)","Regional"
